"","Area","ISO.3.code","Year","Continent","Biomass","Coal","Gas","Hydro","Nuclear","Other Fossil","Other Renewables","Solar","Wind"
"176","Tajikistan","TJK",2024,"Asia",0,0.045,0.009,0.9459,0,0,0,0,0
"177","Tanzania, the United Republic of","TZA",2024,"Africa",7.9e-05,0,0.6278,0.3167,0,0.043,0,0.0045,0
"178","Thailand","THA",2024,"Asia",0.000721,0.1667,0.6835,0.0321,NA,0.0014,NA,0.0272,0.0169
"179","Timor-Leste","TLS",2024,"Asia",0,0,0,0,0,1,0,0,0
"180","Togo","TGO",2024,"Africa",0,0,0.7042,0.1127,0,0,0,0.1831,0
"181","Tonga","TON",2024,"Oceania",0,0,0,0,0,0.8571,0,0.1429,0
"182","Trinidad and Tobago","TTO",2024,"North America",0,0,0.9948,0,0,0.0042,0,0.001,0
"183","Tunisia","TUN",2024,"Africa",0,0,0.9453,5e-04,0,0.0108,0,0.0262,0.0173
"184","Turkey","TUR",2024,"Asia",0.000254,0.3555,0.1854,0.2185,0,0.0029,0.0299,0.0752,0.1071
"185","Turkmenistan","TKM",2024,"Asia",0,0,0.9997,3e-04,0,0,0,0,0
"186","Turks and Caicos Islands (the)","TCA",2024,"North America",0,0,0,0,0,0.963,0,0.037,0
"187","Uganda","UGA",2024,"Africa",0.000809,0,0,0.8606,0,0.0293,0,0.0293,0
"188","United Arab Emirates","ARE",2024,"Asia",1.2e-05,0,0.6827,NA,0.2292,0,NA,0.0858,0.0011
"189","United Kingdom","GBR",2024,"Europe",0.001411,0.0067,0.3037,0.0203,0.1428,0.0403,NA,0.052,0.2931
"190","United States of America","USA",2024,"North America",0.000106,0.1485,0.4258,0.054,0.1781,0.0069,0.004,0.0692,0.1029
"191","Uruguay","URY",2024,"South America",0.002244,0,0,0.3366,0,0.0112,0,0.0419,0.3859
"192","Uzbekistan","UZB",2024,"Asia",0,0.0699,0.7521,0.1006,0,0.0184,0,0.0356,0.0233
"193","Venezuela (Bolivarian Republic of)","VEN",2024,"South America",0,0,0.0449,0.911,0,0.0437,0,1e-04,2e-04
"194","Viet Nam","VNM",2024,"Asia",3.4e-05,0.5032,0.0719,0.2922,0,0.002,NA,0.0852,0.042
"195","Yemen","YEM",2024,"Asia",0,0,0.0114,0,0,0.8762,0,0.1124,0
"196","Zambia","ZMB",2024,"Africa",4.1e-05,0.108,0,0.8621,0,0.0172,0,0.0086,0
"197","Zimbabwe","ZWE",2024,"Africa",0.000117,0.4288,0,0.5556,0,0,0,0.0039,0
"198","Global","123",2025,"All",0.0224,0.3296,0.2178,0.1396,0.0885,0.0265,0.0028,0.0875,0.0854
